time(s),energy(eV),exchange_energy(eV),dm_energy(eV),field_energy(eV),anisotropy_energy(eV),cubic_anisotropy_energy(eV),charge_finite,charge_lattice,avg_mx,avg_my,avg_mz,eletric_x,eletric_y,eletric_z,magnetic_lattice_x,magnetic_lattice_y,magnetic_lattice_z,magnetic_derivative_x,magnetic_derivative_y,magnetic_derivative_z
0.000000000000000e+00,1.547216158543874e-20,1.782843770857799e-20,8.448075862967917e-21,2.333904799665772e-21,0.000000000000000e+00,0.000000000000000e+00,4.761290737724838e-01,-3.500000000000007e+00,1.086012081059116e-02,-1.066658725326203e-02,-1.975787758523418e-02,-2.576406583603798e-17,-1.646719347067574e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-2.303741847916629e-15,0.000000000000000e+00,0.000000000000000e+00,3.133938492169868e-16
4.999999999999990e-13,-2.587157921399430e-19,-6.773499331995987e-19,1.616787803303501e-19,-8.802157053178213e-22,0.000000000000000e+00,0.000000000000000e+00,-2.263798522634993e+00,-8.499999999999998e+00,1.577517404210006e-02,-1.520911896282233e-02,7.451543934765655e-03,-7.026129117698512e-18,4.366333740106791e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-5.594801630654656e-15,0.000000000000000e+00,0.000000000000000e+00,-1.490059254813168e-15
9.999999999999988e-13,-4.823324582311111e-19,-1.226659605405642e-18,2.705520297750831e-19,-4.278670415830507e-21,0.000000000000000e+00,0.000000000000000e+00,-1.578732738337868e-01,-1.499999999999995e+00,2.252288820434165e-02,-1.794090897252035e-02,3.622146298154429e-02,-2.378523688879206e-16,1.262806757836154e-16,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-9.873179348214084e-16,0.000000000000000e+00,0.000000000000000e+00,-1.039140764567142e-16
1.500000000000007e-12,-6.355352823330155e-19,-1.596204301482451e-18,3.420707441456917e-19,-8.468503664640182e-21,0.000000000000000e+00,0.000000000000000e+00,-1.263416122456117e+00,-4.500000000000009e+00,2.925632914622083e-02,-2.150860039492267e-02,7.169086706536967e-02,-4.488119138463850e-17,-1.882919363426847e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-2.961953804464225e-15,0.000000000000000e+00,0.000000000000000e+00,-8.315955978956294e-16
2.000000000000015e-12,-7.489923864834809e-19,-1.840442509155518e-18,3.687271945931463e-19,-1.313472920229594e-20,0.000000000000000e+00,0.000000000000000e+00,-2.232006850809999e+00,-3.000000000000003e+00,3.774360722078679e-02,-2.128533346781138e-02,1.111932122215647e-01,-1.007497718901463e-16,5.143421841763816e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.974635869642814e-15,0.000000000000000e+00,0.000000000000000e+00,-1.469133596299312e-15
2.500000000000022e-12,-8.156925474536914e-19,-1.982584706646429e-18,3.879731597850609e-19,-1.838677402300832e-20,0.000000000000000e+00,0.000000000000000e+00,-4.210314314041623e+00,-6.500000000000006e+00,4.655227320797035e-02,-2.078528254901477e-02,1.556548623517059e-01,-1.271095037366342e-16,2.837530851966633e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-4.278377717559448e-15,0.000000000000000e+00,0.000000000000000e+00,-2.771279222325729e-15
3.000000000000030e-12,-8.605103662342208e-19,-2.072559101477567e-18,3.994685338889530e-19,-2.396508243991476e-20,0.000000000000000e+00,0.000000000000000e+00,-7.891291532413875e+00,-8.500000000000041e+00,5.207650199726137e-02,-2.088288237146275e-02,2.028785258231991e-01,-1.171884497058301e-16,-3.121660177890800e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-5.594801630654669e-15,0.000000000000000e+00,0.000000000000000e+00,-5.194142439237700e-15
3.500000000000038e-12,-8.963080613955296e-19,-2.136776877566688e-18,4.026484608730417e-19,-2.924385304870496e-20,0.000000000000000e+00,0.000000000000000e+00,-1.102320063391152e+01,-1.499999999999999e+01,5.261331181722124e-02,-1.993207853879997e-02,2.475664254770103e-01,-6.989735393902587e-17,-8.123376574076439e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-9.873179348214111e-15,0.000000000000000e+00,0.000000000000000e+00,-7.255602456663688e-15
4.000000000000046e-12,-9.263751523973202e-19,-2.185373687926332e-18,4.000550128789288e-19,-3.371581487361724e-20,0.000000000000000e+00,0.000000000000000e+00,-1.294736686143912e+01,-1.649999999999997e+01,4.910061811483029e-02,-1.873294355916913e-02,2.854242139845404e-01,-8.463704555597351e-17,-8.449396741344916e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.086049728303553e-14,0.000000000000000e+00,0.000000000000000e+00,-8.522111674007565e-15
4.500000000000054e-12,-9.478321386682223e-19,-2.220556270494762e-18,3.993084604210249e-19,-3.720823363135173e-20,0.000000000000000e+00,0.000000000000000e+00,-1.432500501142661e+01,-1.800000000000006e+01,4.395900744920166e-02,-1.693622293758579e-02,3.149895939870033e-01,-1.011831368053628e-16,-7.079476628432700e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.184781521785695e-14,0.000000000000000e+00,0.000000000000000e+00,-9.428889576125341e-15
5.000000000000062e-12,-9.641536023159911e-19,-2.247217461617462e-18,3.986874290840881e-19,-3.988858604930424e-20,0.000000000000000e+00,0.000000000000000e+00,-1.597601153028488e+01,-2.050000000000002e+01,3.893240294276371e-02,-1.434439642436517e-02,3.376803545384944e-01,-9.505638287835489e-17,-7.240702154140694e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.349334510922596e-14,0.000000000000000e+00,0.000000000000000e+00,-1.051560180717592e-14
