time(s),energy(eV),exchange_energy(eV),dm_energy(eV),field_energy(eV),anisotropy_energy(eV),cubic_anisotropy_energy(eV),charge_finite,charge_lattice,avg_mx,avg_my,avg_mz,eletric_x,eletric_y,eletric_z,magnetic_lattice_x,magnetic_lattice_y,magnetic_lattice_z,magnetic_derivative_x,magnetic_derivative_y,magnetic_derivative_z
0.000000000000000e+00,1.036675251557849e-20,3.152629829203899e-20,-8.149793435170240e-22,-5.775277436012070e-22,-4.411379215081278e-21,0.000000000000000e+00,2.391409190856680e-01,-1.500000000000006e+01,-5.612732443659396e-03,3.422065040464898e-03,-4.889112213053067e-03,-1.115847451604793e-16,-1.711546089161467e-16,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-9.873179348214076e-15,0.000000000000000e+00,0.000000000000000e+00,1.574054122419693e-16
5.999999999999985e-13,-2.883469540298396e-19,-7.494952387739655e-19,1.931694505917576e-19,-5.688893475765061e-21,-4.495166462971249e-21,0.000000000000000e+00,1.915233646057936e+00,8.500000000000004e+00,-1.813262722710791e-02,9.681719969466122e-03,-4.815983107181562e-02,-3.119227416819301e-17,1.097811282976951e-16,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,5.594801630654668e-15,0.000000000000000e+00,0.000000000000000e+00,1.260629685417598e-15
1.199999999999996e-12,-5.349051698126500e-19,-1.349804348155017e-18,3.159151798294909e-19,-1.318813058339136e-20,-4.772455066493887e-21,0.000000000000000e+00,3.436103378563945e+00,1.550000000000001e+01,-2.661965719719186e-02,9.517022918453764e-03,-1.116452863381766e-01,-2.753198349570193e-16,1.888205176999885e-16,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.020228532648790e-14,0.000000000000000e+00,0.000000000000000e+00,2.261684327704422e-15
1.799999999999993e-12,-6.960346927153755e-19,-1.718742482768133e-18,3.777320640724273e-19,-2.039972842792935e-20,-5.129754939594878e-21,0.000000000000000e+00,8.813673540511548e+00,1.700000000000001e+01,-2.172517455850873e-02,6.625327964434673e-03,-1.726957059725701e-01,-1.427691930099888e-16,1.485498379853051e-16,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.118960326130937e-14,0.000000000000000e+00,0.000000000000000e+00,5.801265305472023e-15
2.400000000000010e-12,-7.848790458632915e-19,-1.917899461975172e-18,4.127654402910343e-19,-2.684927859149178e-20,-5.462756429729244e-21,0.000000000000000e+00,1.374071209936417e+01,2.450000000000001e+01,-1.849025650832850e-02,-4.227038479186847e-04,-2.272949435377617e-01,-2.417933991063158e-16,1.782368107450305e-16,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.612619293541634e-14,0.000000000000000e+00,0.000000000000000e+00,9.044300995279821e-15
3.000000000000028e-12,-8.421484540671695e-19,-2.035027738280832e-18,4.266922070855125e-19,-3.222269642796496e-20,-5.757992041548024e-21,0.000000000000000e+00,1.822730175511660e+01,3.149999999999993e+01,-1.448631962778193e-02,-4.435148804182818e-03,-2.727840876718991e-01,-2.068190077483516e-16,1.167381465618165e-16,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.073367663124958e-14,0.000000000000000e+00,0.000000000000000e+00,1.199742795081893e-14
3.600000000000046e-12,-8.828517262384235e-19,-2.112310960624984e-18,4.303339702891688e-19,-3.587886435158171e-20,-5.984366718934792e-21,0.000000000000000e+00,2.108313323935203e+01,3.450000000000010e+01,-1.007528089544267e-02,-4.151668068348946e-03,-3.037357007266481e-01,-1.155582422433811e-16,1.142938238945078e-16,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.270831250089250e-14,0.000000000000000e+00,0.000000000000000e+00,1.387717037962783e-14
4.200000000000026e-12,-9.136880485398806e-19,-2.166483715546107e-18,4.283779669447749e-19,-3.842617230065533e-20,-6.209001938556901e-21,0.000000000000000e+00,2.232939147360241e+01,3.449999999999990e+01,-6.467314463817262e-03,-1.911514289783195e-03,-3.253001615550851e-01,-9.616686761162429e-17,2.782663653280709e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.270831250089250e-14,0.000000000000000e+00,0.000000000000000e+00,1.469747245035724e-14
4.800000000000003e-12,-9.400467776659497e-19,-2.209524032649419e-18,4.230256634658640e-19,-4.038150626453379e-20,-6.416086809632741e-21,0.000000000000000e+00,2.245180454582272e+01,3.349999999999996e+01,-6.575238408864363e-03,-2.287499478438316e-03,-3.418532142340527e-01,-3.801208128853339e-17,5.050456608521637e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.205010054434478e-14,0.000000000000000e+00,0.000000000000000e+00,1.477804619813048e-14
5.399999999999980e-12,-9.586864801045900e-19,-2.240989386259429e-18,4.203856749341753e-19,-4.176625039346049e-20,-6.618374048499452e-21,0.000000000000000e+00,2.200985239147128e+01,3.100000000000000e+01,-9.542797244399470e-03,-3.735977556112807e-03,-3.535758881795030e-01,-3.986311927155996e-17,4.724753422268937e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297585e-14,0.000000000000000e+00,0.000000000000000e+00,1.448714800591443e-14
5.999999999999957e-12,-9.717974751351397e-19,-2.264309982406664e-18,4.197774326420910e-19,-4.274444517363324e-20,-6.786755079217005e-21,0.000000000000000e+00,2.231282917406311e+01,3.149999999999993e+01,-1.177362087056977e-02,-3.989515763894963e-03,-3.618568826416326e-01,-5.622428967315965e-17,6.238848464667628e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.073367663124962e-14,0.000000000000000e+00,0.000000000000000e+00,1.468657094677268e-14
6.599999999999935e-12,-9.827163645297721e-19,-2.282492059592746e-18,4.183001148567429e-19,-4.368524578524841e-20,-6.935146376523467e-21,0.000000000000000e+00,2.305955446454379e+01,3.249999999999999e+01,-1.269983093130935e-02,-2.701449752996262e-03,-3.698213134612036e-01,-5.465691856005640e-17,6.243781062045479e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.139188858779727e-14,0.000000000000000e+00,0.000000000000000e+00,1.517807446122347e-14
7.199999999999912e-12,-9.940072817664589e-19,-2.298866702155418e-18,4.146171942202197e-19,-4.481259741874816e-20,-7.069930380114771e-21,0.000000000000000e+00,2.360660459747108e+01,3.050000000000000e+01,-1.248975019103323e-02,-9.799820203904379e-04,-3.793650084625569e-01,-5.785105386781996e-17,5.589492610967006e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.007546467470207e-14,0.000000000000000e+00,0.000000000000000e+00,1.553814939954713e-14
7.799999999999890e-12,-1.006193323981745e-18,-2.314899792986890e-18,4.090629328035516e-19,-4.610695827884888e-20,-7.167935611225795e-21,0.000000000000000e+00,2.421150378319924e+01,3.200000000000002e+01,-1.209435600657524e-02,-7.900186910509119e-04,-3.903225348486585e-01,-5.588344896649946e-17,5.700153492918348e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.106278260952352e-14,0.000000000000000e+00,0.000000000000000e+00,1.593630127609937e-14
8.399999999999867e-12,-1.017027880608656e-18,-2.328349268495352e-18,4.036345518839533e-19,-4.742226968801162e-20,-7.248252614948921e-21,0.000000000000000e+00,2.455080441454020e+01,3.199999999999996e+01,-1.167504176796734e-02,-2.525453906292045e-03,-4.014574199615478e-01,-5.665261079384333e-17,6.599143413099173e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.106278260952339e-14,0.000000000000000e+00,0.000000000000000e+00,1.615963300851213e-14
8.999999999999845e-12,-1.025452581106159e-18,-2.338099306333908e-18,3.990700819735601e-19,-4.861025888132176e-20,-7.327710044662489e-21,0.000000000000000e+00,2.465534325724760e+01,3.199999999999996e+01,-1.121611777991345e-02,-5.525222648663864e-03,-4.115144475906808e-01,-5.462706863832807e-17,7.506901008702250e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.106278260952346e-14,0.000000000000000e+00,0.000000000000000e+00,1.622844172470583e-14
9.599999999999822e-12,-1.032306951949419e-18,-2.345778034014666e-18,3.951990467404522e-19,-4.961171849476293e-20,-7.405739817546444e-21,0.000000000000000e+00,2.460573718219933e+01,3.100000000000002e+01,-1.093749403223583e-02,-9.026594939031095e-03,-4.199923925573127e-01,-4.552333561641218e-17,7.780175690700318e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297578e-14,0.000000000000000e+00,0.000000000000000e+00,1.619579041299165e-14
1.019999999999980e-11,-1.038092517363883e-18,-2.352346048311596e-18,3.919898061774498e-19,-5.042838054563501e-20,-7.486015751174602e-21,0.000000000000000e+00,2.452495961991389e+01,3.100000000000009e+01,-1.084366005063521e-02,-1.223004261185551e-02,-4.269059174071465e-01,-3.936816733341029e-17,7.806452377577154e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297581e-14,0.000000000000000e+00,0.000000000000000e+00,1.614262165567458e-14
1.079999999999978e-11,-1.042502145940617e-18,-2.357529510607868e-18,3.897555816916493e-19,-5.106546929060862e-20,-7.549712191902206e-21,0.000000000000000e+00,2.457129113987684e+01,3.100000000000004e+01,-1.082943827279515e-02,-1.474131615553293e-02,-4.322992485472699e-01,-3.797921668670608e-17,7.485019353279847e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297584e-14,0.000000000000000e+00,0.000000000000000e+00,1.617311761607927e-14
1.139999999999975e-11,-1.046379665584927e-18,-2.362005099536684e-18,3.875309281128414e-19,-5.155885905332917e-20,-7.583720819678529e-21,0.000000000000000e+00,2.462517163231354e+01,3.100000000000000e+01,-1.098460708065924e-02,-1.628314501074062e-02,-4.364760832386586e-01,-3.894561976261740e-17,7.123262812549306e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.040457065297578e-14,0.000000000000000e+00,0.000000000000000e+00,1.620858240042577e-14
1.199999999999973e-11,-1.050427861903787e-18,-2.366660532217175e-18,3.848911687641490e-19,-5.194541588711212e-20,-7.597764290160374e-21,0.000000000000000e+00,2.463869695999450e+01,2.999999999999996e+01,-1.132106436707287e-02,-1.683796479987148e-02,-4.397485143175577e-01,-4.416732572475145e-17,6.902724583192409e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.974635869642826e-14,0.000000000000000e+00,0.000000000000000e+00,1.621748493282156e-14
1.259999999999971e-11,-1.054881651762286e-18,-2.372043880479419e-18,3.820395748516447e-19,-5.226567368450018e-20,-7.613825263894864e-21,0.000000000000000e+00,2.462904805681611e+01,2.999999999999996e+01,-1.198062718028959e-02,-1.678539590329833e-02,-4.424596850377231e-01,-4.133825967186599e-17,6.839428195369548e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.974635869642831e-14,0.000000000000000e+00,0.000000000000000e+00,1.621113390938199e-14
1.319999999999969e-11,-1.058343243352863e-18,-2.376353890751925e-18,3.799130300572746e-19,-5.249575545190772e-20,-7.627057553629854e-21,0.000000000000000e+00,2.468245383661301e+01,3.000000000000003e+01,-1.311740452023268e-02,-1.655813994907200e-02,-4.444074625973250e-01,-4.222889861521325e-17,7.029322108279896e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.974635869642823e-14,0.000000000000000e+00,0.000000000000000e+00,1.624628623219303e-14
1.379999999999966e-11,-1.061151071650482e-18,-2.379822034688854e-18,3.781051895408828e-19,-5.265932114088565e-20,-7.633327935613684e-21,0.000000000000000e+00,2.473561978669113e+01,3.000000000000000e+01,-1.460438337357131e-02,-1.627132004329348e-02,-4.457921424096427e-01,-4.277929191362319e-17,7.193180492846867e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.974635869642818e-14,0.000000000000000e+00,0.000000000000000e+00,1.628128069621569e-14
1.439999999999964e-11,-1.063469164500734e-18,-2.382692880946312e-18,3.766349371330307e-19,-5.279232424255299e-20,-7.647868351546638e-21,0.000000000000000e+00,2.478839705578377e+01,2.999999999999994e+01,-1.634804393522947e-02,-1.579065991639027e-02,-4.469180919349091e-01,-4.208391856014677e-17,7.246503001320571e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.974635869642818e-14,0.000000000000000e+00,0.000000000000000e+00,1.631601932576638e-14
1.499999999999962e-11,-1.065597746744960e-18,-2.385231297931852e-18,3.752674304009165e-19,-5.294457901103943e-20,-7.671233968449851e-21,0.000000000000000e+00,2.485371249847489e+01,2.999999999999999e+01,-1.828774729966165e-02,-1.504692052536485e-02,-4.482070181490180e-01,-4.059719373344424e-17,7.306248003364642e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.974635869642824e-14,0.000000000000000e+00,0.000000000000000e+00,1.635901073109289e-14
1.559999999999960e-11,-1.067745230297031e-18,-2.387608009061057e-18,3.738223826317907e-19,-5.315596562314383e-20,-7.696451459259139e-21,0.000000000000000e+00,2.495504377404832e+01,2.999999999999998e+01,-2.019398575160165e-02,-1.408656692303696e-02,-4.499965302172554e-01,-3.916398189664150e-17,7.391086726810933e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.974635869642819e-14,0.000000000000000e+00,0.000000000000000e+00,1.642570818824750e-14
1.619999999999957e-11,-1.069998634944288e-18,-2.389914649638874e-18,3.722539573416265e-19,-5.344628721025196e-20,-7.722001585415821e-21,0.000000000000000e+00,2.515378283234775e+01,3.050000000000005e+01,-2.172036151810392e-02,-1.290317695872312e-02,-4.524542733005415e-01,-3.833268929325464e-17,7.543848888117861e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,2.007546467470205e-14,0.000000000000000e+00,0.000000000000000e+00,1.655652061265320e-14
